user_id,attempt_id,completed_at,recompute_status,persisted_weighted,recomputed_weighted,delta_weighted,persisted_modified,recomputed_modified,delta_modified,persisted_psych_modified,recomputed_psych_modified,delta_psych_modified,persisted_interview_pass,recomputed_interview_pass,interview_pass_flipped,persisted_final_pass,recomputed_final_pass,final_pass_flipped,persisted_disclosure,recomputed_disclosure,disclosure_changed,persisted_gate_fail_reasons,recomputed_gate_fail_reasons,recompute_notes
3b05c8b7-1783-404a-85f9-eb5a592d044a,8fa6a8f6-d180-4b41-907f-df86a3906168,2026-04-15T20:21:52.07+00:00,success,8.00,8.30,0.30,,8.35,,,7.95,,true,true,false,,true,false,,calibrated,true,,,rollup_algorithm:scenario_only_integers_v3; gate: pass — all current rubric checks satisfied
d9180764-011d-430b-9ee0-630fc24c8af4,e725cdad-e6b2-48d1-b1dc-e2dcdf19030b,2026-04-17T01:15:32.034+00:00,success,4.70,5.00,0.30,,4.70,,,4.70,,false,false,false,,false,false,,calibrated,true,,scenario_floor,"rollup_algorithm:scenario_only_integers_v3; gate: floor_breach: accountability (4.0), repair (4.0); scenario composite floor: S2=4.67; S3=4.71"
042172fe-906a-4a26-b621-25e3987aba5b,2fec04ab-73ea-4eb5-83a0-7ba5a0da969d,2026-04-18T11:35:44.008+00:00,success,6.20,6.20,0.00,,6.20,,,6.20,,true,false,true,,false,false,,calibrated,true,,weighted_score|scenario_floor,rollup_algorithm:scenario_only_integers_v3; gate: weighted_score: 6.2 (required 6.5); scenario_floor: S2=4.80 (min 5); weighted_threshold_met; scenario composite floor: S2=4.80
086fc5a1-22f4-4a32-87f3-cc19c2323538,6a5f057e-766e-403d-83b2-bcf9442a41ed,2026-04-19T17:26:31.064+00:00,success,5.80,5.70,-0.10,,5.60,,,5.60,,true,false,true,,false,false,,calibrated,true,,weighted_score|scenario_floor,rollup_algorithm:scenario_only_integers_v3; gate: weighted_score: 5.6 (required 6.5); scenario_floor: S2=1.50 (min 5); weighted_threshold_met; scenario composite floor: S2=1.50
309253e8-f897-48f1-a044-5effd16e7a9a,ad23da2d-c106-443c-b69c-efc6f65d64d0,2026-04-20T01:25:49.583+00:00,success,4.40,4.30,-0.10,,3.85,,,3.85,,false,false,false,,false,false,,calibrated,true,,scenario_floor,"rollup_algorithm:scenario_only_integers_v3; gate: floor_breach: accountability (4.0), regulation (4.0), repair (4.0); scenario composite floor: S1=4.83; S2=4.00; S3=4.57"
c81fb75e-55f5-4b80-bbf7-37989b4de979,4d4775f3-b92c-41bf-a0b5-8801b1a3053e,2026-04-20T05:19:44.084+00:00,success,7.10,7.00,-0.10,,7.00,,,7.00,,true,true,false,,true,false,,calibrated,true,,,rollup_algorithm:scenario_only_integers_v3; gate: pass — all current rubric checks satisfied
d4294ac2-9ec6-4fbe-aefd-61b25098d878,83fab986-0b1b-41ae-b0f5-b39dc2ca7094,2026-04-21T18:28:15.903+00:00,success,6.10,6.20,0.10,,5.90,,,5.90,,false,false,false,,false,false,,calibrated,true,,weighted_score,rollup_algorithm:scenario_only_integers_v3; gate: weighted_score: 5.9 (required 6.5)
6be604e2-acde-4987-9ad1-b15603b1edad,c1ebbcdc-bf39-4dc0-bdcc-422807cb617c,2026-04-26T23:07:50.36+00:00,success,4.30,3.90,-0.40,,3.80,,,3.80,,false,false,false,,false,false,,calibrated,true,,scenario_floor,"rollup_algorithm:scenario_only_integers_v3; gate: floor_breach: accountability (3.0), repair (4.0); scenario composite floor: S1=2.67; S2=3.67; S3=3.67"
ec65d400-458f-44a6-9eae-d566cb8dbc63,1ba58fff-c81f-47af-a786-73b91ec38cd4,2026-04-28T18:39:00.489+00:00,success,6.20,6.20,0.00,,6.40,,5.50,5.80,0.30,true,false,true,true,false,true,,calibrated,true,sd3_narcissism_floor,weighted_score|scenario_floor,rollup_algorithm:scenario_only_integers_v3; gate: weighted_score: 6.4 (required 6.5); scenario_floor: S2=4.50 (min 5); weighted_threshold_met; scenario composite floor: S2=4.50
bb8c60d1-bd7a-4884-b3c5-978d00162702,526a4e86-42f8-4b6b-8ef4-1f2000ccc2ad,2026-04-29T17:16:30.622+00:00,success,6.60,6.60,0.00,,6.60,,,6.60,,true,true,false,,true,false,,calibrated,true,,,rollup_algorithm:scenario_only_integers_v3; gate: pass — all current rubric checks satisfied
